ECT_Class,Characteristic,Variable,Measurement,Habitat,Dataset_Age ,Data_Type
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),BC1,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),ED2,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),ED3,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),FS1,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),GA1,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),GS1,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),GS2,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),GS3,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),GS4,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),HD1,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),HH3,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),LR4,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),PB2,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),PB4,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),PB4HH3,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),PB5,2022,Both
Abiotic,Physical State,Bare ground (soil or peat),Index (0-3),WS1,2022,Both
Abiotic,Physical State,Burnt Area,Index (0-3),PB2,2022,Both
Abiotic,Physical State,Drainage,Index (0-3),WD4,2022,Both
Abiotic,Physical State,Drainage,Index (0-3),WS5,2022,Both
Abiotic,Physical State,Erosion,Index (0-3),LR4,2022,Both
Abiotic,Chemical State,Ground Waterbody Risk,Index (0-3),PB4HH3,2015,Remote
Abiotic,Chemical State,Ground Waterbody Risk,Index (0-3),PB2,2015,Remote
Abiotic,Chemical State,Ground Waterbody Risk,Index (0-3),PB4,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),BC1,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),ED2,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),ED3,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),GA1,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),GS1,2015,Remote
Abiotic,Chemical State,PIP N,Index (0-3),GS2,2015,Remote
