AssetID,Site,Land_use,IUCN_habitat_realm,IUCN_habitat_biome,IUCN_habitat_EFG,IUCN_habitat,FossittLvl1,FossittLvl2,Fossitt,Area_m2,Characteristic Type,Class,Variable,Measurement_unit,Opening_Value,Standardised_Value,Referenced_value,Weighted
BAED302,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,2377,Abiotic characteristics,Physical state,Bare ground,Index (0-3),0,0,0,0
BAED303,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,3526,Abiotic characteristics,Physical state,Bare ground,Index (0-3),0,0,0,0
BAED304,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,692,Abiotic characteristics,Physical state,Bare ground,Index (0-3),0,0,0,0
BAED306,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1779,Abiotic characteristics,Physical state,Bare ground,Index (0-3),0,0,0,0
BAED307,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1025,Abiotic characteristics,Physical state,Bare ground,Index (0-3),0,0,0,0
BAED302,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,2377,Biotic characteristics,Compositional state,Herbicide Use,Binary (0/1),1,1,1,0.25
BAED303,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,3526,Biotic characteristics,Compositional state,Herbicide Use,Binary (0/1),1,1,1,0.25
BAED304,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,692,Biotic characteristics,Compositional state,Herbicide Use,Binary (0/1),1,1,1,0.25
BAED306,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1779,Biotic characteristics,Compositional state,Herbicide Use,Binary (0/1),1,1,1,0.25
BAED307,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1025,Biotic characteristics,Compositional state,Herbicide Use,Binary (0/1),1,1,1,0.25
