AssetID,Site,County,Land_use,IUCN_habitat_realm,IUCN_habitat_biome,IUCN_habitat_EFG,Fossitt,Area_m2,Area_ha,Percent_Cover_m2
BAWS504,A,Cork,Commercial forestry,Terrestrial,T3,T3.3,WS5,197822,20,4.504303887
BAWS502,A,Cork,Commercial forestry,Terrestrial,T3,T3.3,WS5,94268,10,2.146433252
BAWD401,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,86065,9,1.959655215
BAWD402,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,5849,1,0.133178683
BAWD403,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,63910,6,1.455197407
BAWD404,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,52533,5,1.196149044
BAWD405,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,47913,5,1.09095405
BAWD406,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,62600,6,1.425369389
BAWD407,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,70643,7,1.608504309
BAWD408,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,77331,8,1.760786585
BAWD409,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,86748,9,1.97520677
BAWD410,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,8881,1,0.202215744
BAWD411,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,100645,10,2.29163422
BAWD412,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,103839,10,2.364359936
BAWD413,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,38550,4,0.877763418
BAWD415,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,21202,2,0.482758495
BAWD416,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,263047,26,5.989443159
BAWD418,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,247851,25,5.643438155
BAWD419,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,224153,22,5.10384704
BAWD421,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,41690,4,0.949259582
BAWD423,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,80294,8,1.828252552
BAWD424,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,38301,4,0.872093818
BAWD425,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,37553,4,0.855062247
BAWD427,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,114594,11,2.609245684
BAWD428,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,91938,9,2.093380366
BAWD429,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,154481,16,3.517451895
BAWD430,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,72623,7,1.653587878
BAWD433,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,369474,37,8.412730507
BAWD434,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,41855,4,0.953016546
BAWD435,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,134711,14,3.067299294
BAWD436,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,125177,13,2.85021508
BAWD437,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,103040,10,2.346167123
BAWD438,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,23025,2,0.524267255
BAWD440,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,21669,2,0.493391842
BAWD441,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,78788,8,1.793961716
BAWD443,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,45183,5,1.028793372
BAWD444,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,52735,5,1.200748478
BAWD445,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,19863,2,0.452270163
BAWD447,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,85412,9,1.944786746
BAWD448,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,46947,5,1.068958734
BAWD450,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,16078,2,0.366087684
BAWD451,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,5392,1,0.122773031
BAWD453,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,61091,6,1.391010245
BAWD454,A,Cork,Commercial forestry,Terrestrial,T7,T7.3,WD4,1585,0,0.036089624
BAHH105,A,Cork,Commercial forestry,Terrestrial,T3,T3.3,HH1,348619,35,7.937873021
BAGS201,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,653,0,0.01486847
BAGS203,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,668,0,0.015210012
BAGS205,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,2243,0,0.051071942
BAGS207,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,4526,0,0.103054662
BAGS209,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,4094,0,0.093218247
BAGS211,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,4379,0,0.099707549
BAGS215,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,2376,0,0.054100282
BAGS217,A,Cork,Commercial forestry,Terrestrial,T7,T7.5,GS2,2452,0,0.055830763
